query,calls,server
1,984,"E1"
1,1270,"E2"
2,64,"E1"
2,66,"E2"
3,1,"E1"
3,0,"E2"
4,19,"E1"
4,19,"E2"
5,36,"E1"
5,35,"E2"
6,1,"E1"
6,0,"E2"
7,1,"E1"
7,0,"E2"
8,2,"E1"
8,2,"E2"
9,7,"E1"
9,4,"E2"
10,1219,"E1"
10,1258,"E2"
11,2,"E1"
11,2,"E2"
12,1846,"E1"
12,1846,"E2"
13,101,"E1"
13,95,"E2"
14,1,"E1"
14,0,"E2"
15,1,"E1"
15,0,"E2"
16,1,"E1"
16,0,"E2"
17,4945,"E1"
17,3962,"E2"
18,1,"E1"
18,0,"E2"
19,1,"E1"
19,0,"E2"
20,1,"E1"
20,1,"E2"
21,2844,"E1"
21,2940,"E2"
22,7,"E1"
22,7,"E2"
23,1256,"E1"
23,2492,"E2"
24,10,"E1"
24,10,"E2"
25,409,"E1"
25,392,"E2"
26,11,"E1"
26,5,"E2"
27,1,"E1"
27,0,"E2"
28,1,"E1"
28,0,"E2"
29,62,"E1"
29,6,"E2"
30,60,"E1"
30,60,"E2"
31,63,"E1"
31,63,"E2"
32,1,"E1"
32,0,"E2"
33,1,"E1"
33,0,"E2"
34,597,"E1"
34,591,"E2"
35,623,"E1"
35,612,"E2"
36,1,"E1"
36,0,"E2"
37,1108,"E1"
37,1084,"E2"
38,695,"E1"
38,675,"E2"
39,10,"E1"
39,5,"E2"
40,1,"E1"
40,0,"E2"
41,3,"E1"
41,0,"E2"
42,1,"E1"
42,0,"E2"
43,521,"E1"
43,218,"E2"
44,1,"E1"
44,0,"E2"
45,1276,"E1"
45,1240,"E2"
46,2,"E1"
46,2,"E2"
47,3972,"E1"
47,3001,"E2"
48,16280,"E1"
48,1235,"E2"
49,7,"E1"
49,3,"E2"
50,4006,"E1"
50,1415,"E2"
51,60,"E1"
51,59,"E2"
52,10701,"E1"
52,813,"E2"
53,1,"E1"
53,0,"E2"
54,4849,"E1"
54,3821,"E2"
55,3090,"E1"
55,3186,"E2"
56,3,"E1"
56,0,"E2"
57,1,"E1"
57,0,"E2"
58,49,"E1"
58,40,"E2"
59,1209,"E1"
59,1197,"E2"
60,8,"E1"
60,6,"E2"
61,127,"E1"
61,0,"E2"
62,159,"E1"
62,15,"E2"
63,2025,"E1"
63,2094,"E2"
64,4,"E1"
64,3,"E2"
66,11,"E1"
66,2,"E2"
67,1,"E1"
67,0,"E2"
68,1,"E1"
68,0,"E2"
69,1,"E1"
69,0,"E2"
70,46,"E1"
70,48,"E2"
71,1182,"E1"
71,976,"E2"
72,131,"E1"
72,124,"E2"
73,817,"E1"
73,59,"E2"
74,1,"E1"
74,0,"E2"
75,1,"E1"
75,0,"E2"
76,1272,"E1"
76,1301,"E2"
77,4,"E1"
77,3,"E2"
78,2449,"E1"
78,2203,"E2"
79,3072,"E1"
79,3029,"E2"
80,3,"E1"
80,0,"E2"
81,1295,"E1"
81,548,"E2"
82,26,"E1"
82,23,"E2"
83,7,"E1"
83,5,"E2"
84,801,"E1"
84,743,"E2"
85,87,"E1"
85,103,"E2"
86,1,"E1"
86,0,"E2"
87,167,"E1"
87,166,"E2"
88,43,"E1"
88,36,"E2"
89,61,"E1"
89,61,"E2"
90,1,"E1"
90,0,"E2"
91,7672,"E1"
91,6439,"E2"
92,10712,"E1"
92,10143,"E2"
93,1207,"E1"
93,628,"E2"
94,1,"E1"
94,0,"E2"
